,team,opponent,goals,total_score,total_count,rank_difference,home
6129,Macau,Hong Kong,0,110.5,0,53.91666666666667,1
23347,Greece,Hungary,1,1077.1666666666667,4,-6.416666666666664,1
5658,Gabon,Burkina Faso,1,447.33333333333326,6,7.166666666666671,0
4176,Mauritania,Cape Verde,2,19.3,2,127.4,0
4601,Jordan,Syria,0,20.8,7,26.0,0
2868,Nepal,Oman,0,9.0,2,55.10000000000001,1
14074,Estonia,Moldova,1,243.41666666666663,5,68.75,1
5187,Moldova,Germany,1,372.41666666666674,6,94.41666666666666,0
2767,Kuwait,Syria,3,30.4,3,-56.90000000000001,1
80,Romania,Latvia,2,51.0,0,-88.0,1
19983,Tunisia,Japan,0,784.0833333333335,6,-21.416666666666668,0
1118,DR Congo,Lesotho,7,0.0,3,-137.8,1
10082,Israel,France,0,556.1666666666666,4,53.75,0
12090,Singapore,Kazakhstan,0,345.72727272727275,3,-32.54545454545455,1
22982,Cape Verde,Algeria,3,0.0,3,-64.25,0
21512,Qatar,South Korea,2,414.33333333333326,6,83.5,0
14829,Netherlands,Australia,0,1351.25,5,-21.5,0
21956,Netherlands,Italy,1,854.5,5,12.499999999999998,1
18275,Chile,Uruguay,2,897.0833333333335,4,8.0,1
5014,Paraguay,Jamaica,3,628.5833333333334,12,-22.333333333333336,0
23822,Armenia,Finland,0,1222.75,7,43.0,1
1288,Guinea,Gambia,1,29.4,3,-84.6,1
13001,Russia,Andorra,1,879.3333333333335,2,-142.66666666666666,0
12485,Guinea,Algeria,2,669.25,5,-33.99999999999999,0
13033,Latvia,Sweden,1,328.0,4,77.91666666666666,0
3259,Malta,United Arab Emirates,0,20.6,4,37.7,0
11638,Ukraine,Italy,0,837.3636363636364,3,19.363636363636363,0
12088,Sudan,Somalia,6,334.90909090909093,7,-76.90909090909092,1
18654,Uzbekistan,Jordan,1,548.5,10,-16.916666666666664,0
4622,Dominica,Trinidad and Tobago,0,17.0,1,84.5,0
10342,South Africa,Nigeria,2,611.6666666666666,7,18.83333333333333,1
14509,Rwanda,Zambia,0,340.4166666666667,5,13.583333333333329,0
2431,Georgia,Moldova,2,22.5,6,-27.0,0
5955,Gabon,Madagascar,0,447.33333333333326,6,-43.83333333333333,0
